,"European Union Emissions Trading System (from 2019, download)",,,,, 
Date,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market,Secondary Market, 
2021-03-04,1,1.189908696,EUR,36.9,, 
2021-03-05,1,1.189908696,EUR,38.08,, 
2021-03-08,1,1.189908696,EUR,38.41,41.22, 
2021-03-09,1,1.189908696,EUR,39.4,, 
2021-03-10,1,1.189908696,EUR,41,, 
2021-03-11,1,1.189908696,EUR,40.92,, 
2021-03-12,1,1.189908696,EUR,41.52,, 
2021-03-15,1,1.189908696,EUR,42.84,42.27, 
2021-03-16,1,1.189908696,EUR,41.92,, 
2021-03-17,1,1.189908696,EUR,41.9,, 
2021-03-18,1,1.189908696,EUR,43.35,, 
2021-03-19,1,1.189908696,EUR,41.91,, 
2021-03-22,1,1.189908696,EUR,41.8,41.59, 
2021-03-23,1,1.189908696,EUR,41.77,, 
2021-03-24,1,1.189908696,EUR,40.94,, 
2021-03-25,1,1.189908696,EUR,40.69,, 
2021-03-26,1,1.189908696,EUR,40.86,, 
2021-03-29,1,1.189908696,EUR,40.71,42.23, 
2021-03-30,1,1.189908696,EUR,42.25,, 
2021-03-31,1,1.189908696,EUR,42.26,, 
2021-04-01,1,1.19791,EUR,42.04,, 
2021-04-05,1,1.19791,EUR,,43.54, 
2021-04-06,1,1.19791,EUR,43.05,, 
2021-04-07,1,1.19791,EUR,43.63,, 
2021-04-08,1,1.19791,EUR,43.45,, 
2021-04-09,1,1.19791,EUR,43.18,, 
2021-04-12,1,1.19791,EUR,43.86,44.15, 
2021-04-13,1,1.19791,EUR,44.1,, 
2021-04-14,1,1.19791,EUR,43.53,, 
2021-04-15,1,1.19791,EUR,43.99,, 
2021-04-16,1,1.19791,EUR,44.5,, 
2021-04-19,1,1.19791,EUR,44.66,45.84, 
2021-04-20,1,1.19791,EUR,44.2,, 
2021-04-21,1,1.19791,EUR,44.85,, 
2021-04-22,1,1.19791,EUR,46.6,, 
2021-04-23,1,1.19791,EUR,46.41,, 
2021-04-26,1,1.19791,EUR,47.24,47.83, 
2021-04-27,1,1.19791,EUR,46.55,, 
2021-04-28,1,1.19791,EUR,48,, 
2021-04-29,1,1.19791,EUR,47.25,, 
2021-04-30,1,1.19791,EUR,47.68,, 
2021-05-03,1,1.214590476,EUR,,49.57, 
2021-05-04,1,1.214590476,EUR,49.33,, 
2021-05-05,1,1.214590476,EUR,48.62,, 
2021-05-06,1,1.214590476,EUR,49.45,, 
2021-05-07,1,1.214590476,EUR,49.46,, 
2021-05-10,1,1.214590476,EUR,51.81,54.34, 
2021-05-11,1,1.214590476,EUR,51.59,, 
2021-05-12,1,1.214590476,EUR,54.22,, 
2021-05-17,1,1.214590476,EUR,55.57,52.71, 
2021-05-18,1,1.214590476,EUR,55.53,, 
2021-05-19,1,1.214590476,EUR,52.12,, 
2021-05-20,1,1.214590476,EUR,50.84,, 
2021-05-21,1,1.214590476,EUR,52.71,, 
2021-05-24,1,1.214590476,EUR,,52.53, 
